"partno","altpartno"
"000-001-44PHR","PVC FILM (0.8MM) (30M X 1.40M)"
"000-001-44PHR","PVC FILM (1MM) (20M X 1.40M)"
"000-001-44PHR","ПЛЕНКА ПРОЗР. ПВХ 1ММ ШИР.1,37М"
"D5281003100100","D5281014500100"
"D5281003300000","D5281003300002"
"D5281003300000","D5281003300003"
"D5281003300100","D5281003300102"
"D5281003300100","D5281003300103"
"D5281003300102","D5281003300100"
"D5281003300102","D5281003300103"
"D5281003300103","D5281003300100"
"D5281003300103","D5281003300102"
"D5281003400000","D5281003400004"
"D5281003400004","D5281003400000"
"D5281003720000","D5281014920000"
"D5281003720200","D5281014820000"
"D5281003721800","D5281014920400"
"D5281003721900","D5281014920500"
"D5281003722000","D5281014920200"
"D5281003722100","D5281014920300"
"D5281003801400","D5281003801401"
"D5281003801401","D5281003801400"
"D5281003801600","D5281003801601"
"D5281003801601","D5281003801600"
"D5281004020000","D5281012420000"
"D5281004020100","D5281012420100"
"D5281004221700","D5281004221702"
"D5281004221702","D5281004221700"
"D5281005420000","D5281005420002"
"D5281005420002","D5281005420000"
"D5281005420100","D5281005420102"
"D5281005420102","D5281005420100"
"D5281005820200","D5281005820203"
"D5281005820203","D5281005820200"
"D5281005820300","D5281005820303"
"D5281005820303","D5281005820300"
"D5281007020000","D5281000720000"
"D5281007020000","D5281009320000"
"D5281007020100","D5281009320100"
"D5281007500200","D5281007500201"
"D5281008620000","D5281008620001"
"D5281008620001","D5281008620000"
"D5281009020000","D5281009020001"
"D5281009020100","D5281009020101"
"D5281009320000","D5281000720000"
"D5281009320100","D5281000720100"
"D5281010000100","D5281010000200"
"D5281011820700","NSA360060"
"D5281012420000","D5281004020000"
"D5281012420100","D5281004020100"
"D5281012920000","D5281012920040"
"D5281012920040","D5281012920000"
"D5281013020000","D5281013020040"
"D5281013020040","D5281013020000"
"D5281013020100","D5281013020140"
"D5281013020140","D5281013020100"
"D5281013120000","D5281013120000WE"
"D5281013120000WE","D5281013120000"
"D5281013120100","D5281013120100WE"
"D5281013120100","D5281013120195"
"D5281013120100WE","D5281013120100"
"D5281013120200","D5281013120200WE"
"D5281013120200WE","D5281013120200"
"D5281013120300","D5281013120300WE"
"D5281013120300WE","D5281013120300"
"D5281013320000","D5281013320000WE"
"D5281013320000WE","D5281013320000"
"D5281013700000","D5281013700095"
"D5281013700100","D5281013700195"
"D5281013900000","D5281013900001"
"D5281013900100","D5281013900101"
"D5281014500000","D5281003100000"
"D5281014500100","D5281003100100"
"D5281014820000","D5281003720200"
"D5281014920000","D5281003720000"
"D5281014920200","D5281003722000"
"D5281014920400","D5281003721800"
"D5281014920500","D5281003721900"
"D5281020600400","D5281020600600"
"D5281020600500","D5281020600700"
"D5281020600600","D5281020600400"
"D5281020600700","D5281020600500"
"D5284000400000","D5284000400000Z"
"D5284000400000Z","D5284000400000"
"D5284020420100","D5284020420151"
"D5284020820251","J4248"
"D5284021200000","D5284021200200"
"D5284021200200","D5284021200000"
"D5284022020000","ABS0532-08"
"D5284025220000","J4253"
"D5284025220100","D5284025220101"
"D5284025220100","J4253"
"D5288010020200","D5288016520200"
"D5288010020400","D5288016520400"
"D5288011620600","D5288011620601"
"D5288011620601","D5288011620600"
"D5288012520000","D5288012520001"
"D5288012620051","D5288012620052"
"D5288013120000","D5288013120400"
"D5288013120000","D5288028420000"
"D5288013620200","D5288013620400"
"D5288013620200","D5288013620600"
"D5288013620200","D5288025420000"
"D5288013620400","D5288025420000"
"D5288013620600","D5288025420000"
"D5288013720000","D5288013720200"
"D5288013720200","D5288013720000"
"D5288013820200","D5288013820600"
"D5288013820600","D5288025520000"
"D5288013920000","D5288013920200"
"D5288013920200","D5288013920000"
"D5288014020000","D5288026620000"
"D5288014020000","D5288029120000"
"D5288014220000","D5288036820000"
"D5288014220200","D5288036820000"
"D5288016520200","D5288010020200"
"D5288016520400","D5288010020400"
"D5288016520800","D5288016520851"
"D5288016520851","D5288016520800"
"D5288016520900","D5288016520951"
"D5288016520951","D5288016520900"
"D5288020220000","D5288020220002"
"D5288023700300","D5288023700301"
"D5288024600300","D5288024600301"
"D5288024600301","D5288024600300"
"D5288024720300","D5288024720301"
"D5288024720300","D5288024720302"
"D5288024720301","D5288024720300"
"D5288024720302","D5288024720300"
"D5288025420000","D5288013620400"
"D5288025420000","D5288013620600"
"D5288025520000","D5288013820600"
"D5288026620000","D5288014020000"
"D5288026620000","D5288029120000"
"D5288029120000","D5288014020000"
"D5288029120000","D5288026620000"
"D5288036820000","D5288014220000"
"D5288036820000","D5288014220200"
"D5288036820000","D5288036820001"
"D52B1502-11","491B1613028-003"
"D530-70011","D53070011"
"D53070011","D530-70011"
"D5307003320200","ABS0212-02"
"D5311001803401","D5311001903601"
"D5311001803501","D5311001803701"
"D5311001803701","D5311001803501"
"D5311011220000","D5311011220006"
"D5311011320000","D5311011320004"
"D5311015220100","D5311015220190"
"D5311015220190","D5311015220100"
"D5311015320100","D5311015320190"
"D5311015320190","D5311015320100"
"D5311024900000","D5311024900042"
"D5311024900000","D5311024900043"
"D5311024900100","D5311024900143"
"D5311024900143","D5311024900100"
"D5311039620000","D5311039620051"
"D5311039620051","D5311039620000"
"D5311042920000","D5311042920041"
"D5311042920041","D5311042920000"
"D5311047700007","D53132010000"
"D5311047700007","D5313201000000"
"D5311064220000","D5311064220001"
"D5311064220001","D5311064220000"
"D5311141420000","D5311141420200"
"D5311141420200","D5311141420000"
"D5311146020200","D5311146020201"
"D5311146020201","D5311146020200"
"D5311146100200","D5311146100201"
"D5311146100201","D5311146100200"
"D5311201300000","D5311201300040"
"D5311201300000","D5313560800000"
"D5311201300000","D5313560800040"
"D5311201300040","D5311201300000"
"D5311201300040","D5313560800000"
"D5311201300040","D5313560800040"
"D5311201500000","D5311243200000"
"D5311201500100","D5311243200100"
"D5311201600000","D5311243500000"
"D5311201600100","D5311243500100"
"D5311218320100","D5211083000100"
"D5311218920000","D5311218920001"
"D5311218920001","D5311218920000"
"D5311218920100","D5311218920101"
"D5311218920101","D5311218920100"
"D5311219120200","D5311219120203"
"D5311219120200","D5311219120204"
"D5311219120200","D5311219120205"
"D5311219120200","D5311219120206"
"D5311219120203","D5311219120200"
"D5311219120203","D5311219120204"
"D5311219120203","D5311219120205"
"D5311219120204","D5311219120200"
"D5311219120204","D5311219120203"
"D5311219120204","D5311219120205"
"D5311219120205","D5311219120200"
"D5311219120205","D5311219120203"
"D5311219120205","D5311219120204"
"D5311219120206","D5311219120200"
"D5311219120300","D5311219120390"
"D5311219820000","D5311219820006"
"D5311219820006","D5311219820000"
"D5311219820100","D5311219820105"
"D5311219820100","D5311219820106"
"D5311219820105","D5311219820100"
"D5311219820106","D5311219820100"
"D5311219920004","D5311219920200"
"D5311219920200","D5311219920000"
"D5311219920200","D5311219920004"
"D5311219920200","D5311219920201"
"D5311219920200","D5311219920202"
"D5311219920200","D531121992020R"
"D5311219920200","D5313519920000"
"D5311219920200","D5313519920001"
"D5311219920201","D5311219920200"
"D5311219920202","D5311219920200"
"D531121992020R","D5311219920200"
"D531121992020R","D5313519920001"
"D5311219920300","D5311219920301"
"D5311219920300","D5311219920302"
"D5311219920300","D531121992030R"
"D5311219920300","D5313519920100"
"D5311219920300","D5313519920101"
"D5311219920301","D5311219920300"
"D5311219920301","D5311219920302"
"D5311219920302","D5311219920300"
"D5311219920302","D5311219920301"
"D531121992030R","D5311219920300"
"D531121992030R","D5313519920101"
"D5311220020004","D5311220020200"
"D5311220020200","D5311220020004"
"D5311220020200","D5311220020201"
"D5311220020200","D5311220020202"
"D5311220020200","D531122002020R"
"D5311220020200","D5313519820000"
"D5311220020200","D5313519820001"
"D5311220020201","D5311220020200"
"D5311220020201","D531122002020R"
"D5311220020202","D5311220020200"
"D531122002020R","D5311220020200"
"D531122002020R","D5311220020201"
"D531122002020R","D5313519820001"
"D5311220020300","D5311220020302"
"D5311220020300","D531122002030R"
"D5311220020300","D5313519820100"
"D531122002030R","D5311220020300"
"D531122002030R","D5313519820100"
"D5311228420200","D5311228420202"
"D5311228420200","D531122842020R"
"D5311228420200","D5313526920000"
"D5311228420200","D5313526920001"
"D531122842020R","D5311228420200"
"D531122842020R","D5313526920001"
"D5311228420300","D531122842030R"
"D5311228420300","D5313526920100"
"D531122842030R","D5311228420300"
"D531122842030R","D5313526920100"
"D5311236620000","D5311236620040"
"D5311236620040","D5311236620000"
"D5311236620100","D5311236620140"
"D5311236620140","D5311236620100"
"D5311236720000","D5311236720041"
"D5311236720041","D5311236720000"
"D5311236720100","D5311236720141"
"D5311236720141","D5311236720100"
"D5311243200000","D5311201500000"
"D5311243200100","D5311201500100"
"D5311243500000","D5311201600000"
"D5311243500100","D5311201600100"
"D5311245800000","D5311245800001"
"D5311245800001","D5311245800000"
"D5311247300200","D5313511000000"
"D5311251320000","D5311251320040"
"D5311251320040","D5311251320000"
"D5311253800000","WMLCE12-7SP1"
"D5311254700400","D5311201500000"
"D5311254700400","D5311243200000"
"D5311254700400","D5311254700000"
"D5311257120000","D5311411020000"
"D5311261000000","D5311261020000"
"D5311261020000","D5311261000000"
"D5311262220000","D5311262200000"
"D5311272920001","D5311272920200"
"D5311272920001","D5311272920201"
"D5311272920200","D5311272920001"
"D5311272920200","D5311272920201"
"D5311272920201","D5311272920001"
"D5311272920201","D5311272920200"
"D5311273520400","D5311273520401"
"D5311273520401","D5311273520400"
"D5311278220000","D5311278220200"
"D5311278220200","D5311278220000"
"D5311278220200","D5311278220201"
"D5311278220200","D5311281400200"
"D5311278220201","D5311278220200"
"D5311278520200","D5311278520201"
"D5311278520200","D5311411320000"
"D5311278520201","D5311411320000"
"D5311278520300","D5311278520301"
"D5311278520301","D5311278520300"
"D5311278620000","D5311278620001"
"D5311278620001","D5311278620000"
"D5311278620100","D5311278620101"
"D5311278620101","D5311278620100"
"D5311278820000","D5311278820040"
"D5311278820040","D5311278820000"
"D5311281300051","D5311281300200"
"D5311281300200","D5311281300051"
"D5311281300200","D5311281300251"
"D5311281300251","D5311281300200"
"D5311281400200","D5311278220200"
"D5311281520000","D5311281520200"
"D5311281520200","D5311281300051"
"D5311281520200","D5311281300200"
"D5311281520200","D5311281300251"
"D5311281520200","D5311281520000"
"D5311281700201","D5311281700400"
"D5311281700400","D5311281700201"
"D5311281700400","D5311281700401"
"D5311281700400","D5311281700420"
"D5311281700401","D5311281700400"
"D5311281820400","D5311281700201"
"D5311281820400","D5311281700401"
"D5311281820400","D5311281820401"
"D5311281820401","D5311281820400"
"D5311282420200","D5311282420201"
"D5311282420201","D5311282420200"
"D5311282720200","D5311282600200"
"D5311283020000","D5311283020201"
"D5311283020200","D5311283020201"
"D5311283020201","D5311283020000"
"D5311283020201","D5311283020200"
"D5311283200200","D5311283200201"
"D5311283200200","D5311283320200"
"D5311283200201","D5311283200200"
"D5311283320200","D5311283200200"
"D5311308620000","D5311308620040"
"D5311308620000","D5311308620041"
"D5311308620040","D5311308620000"
"D5311308620041","D5311308620000"
"D5311311320400","D5311311320410"
"D5311332220000","D5311332220001"
"D5311332220001","D5311332220000"
"D5311332220100","D5311332220102"
"D5311332220102","D5311332220100"
"D5311342320000","D5311342320002"
"D5311342320002","D5311342320000"
"D5311357820000","D5313701220200"
"D5311357820002","D5311360020000"
"D5311357820002","D5311409220000"
"D5311360020000","D5311357820002"
"D5311360020000","D5311409220000"
"D5311373520000","D5311373520040"
"D5311373520040","D5311373520000"
"D5311373520100","D5311373520140"
"D5311373520140","D5311373520100"
"D5311378721600","D5311378721640"
"D5311378721640","D5311378721600"
"D5311378722300","D5311378722340"
"D5311378722340","D5311378722300"
"D5311378821000","D5311378821040"
"D5311378821040","D5311378821000"
"D5311398800000","D5311398800090"
"D5311398800090","D5311398820000"
"D5311398800090","D5313707600000"
"D5311398820000","D5311398800090"
"D5311401820800","D5311401820803"
"D5311401820803","D5311401820800"
"D5311401820900","D5311401820903"
"D5311401820903","D5311401820900"
"D5311402420000","D5311141520200"
"D5311402520200","D5311402520240"
"D5311402520240","D5311402520200"
"D5311402720000","D5311379720000"
"D5311409220000","D5311357820002"
"D5311409220000","D5311360020000"
"D5311411320000","D5311278520200"
"D5311411320000","D5311278520201"
"D5311411520000","D5311411520001"
"D5311411820000","D5311411820001"
"D5311411820001","D5311411820000"
"D5311434620000","D5311064220000"
"D5311440620000","D5311440620001"
"D5311441100000","D5311441100001"
"D5311441100000","D5311441220000"
"D5311441220000","D5311441100000"
"D5311441220000","D5311441220001"
"D5311441220000","D5313534420000"
"D5311441220001","D5311441220000"
"D5311441400000","D5311441400001"
"D5311441400000","D5311441520000"
"D5311441520000","D5311441400000"
"D5311441720000","D5311441720001"
"D53120000-200","D5312000020000"
"D53120000-201","D5312000020100"
"D53132010000","D5311047700007"
"D53132010000","D5313201000000"
"D5313201000000","D5311047700007"
"D5313201000000","D53132010000"
"D5313204020000","D5313204020000KT"
"D5313204020000KT","D5313204020000"
"D5313204020100","D5313204020100KT"
"D5313204020100KT","D5313204020100"
"D53132110000","D53132210000"
"D53132115200","D5313211520000"
"D5313211520000","D53132115200"
"D53132210000","D53132110000"
"D5313511000000","D5311247300200"
"D5313517720000","D5313517720010"
"D5313517720010","D5313517720000"
"D5313519820000","D5313519820001"
"D5313519820001","D5311220020200"
"D5313519820001","D531122002020R"
"D5313519820001","D5313519820000"
"D5313519920000","D5313519920001"
"D5313519920001","D5311219920200"
"D5313519920001","D531121992020R"
"D5313519920100","D5313519920101"
"D5313520600000","D5313520720000"
"D5313520720000","D5313520600000"
"D5313526920000","D5313526920001"
"D5313526920001","D5311228420200"
"D5313526920001","D5313526920000"
"D5313526920100","D531122842030R"
"D5313534420000","D5311441220000"
"D5313560800000","D5311201300000"
"D5313560800000","D5311201300040"
"D5313560800000","D5313560800040"
"D5313560800040","D5311201300000"
"D5313560800040","D5311201300040"
"D5313560800040","D5313560800000"
"D5313701220200","D5311357820000"
"D5313707600000","D5311398800090"
"D5321005720100","D5321005720140"
"D5321005720140","D5321005720100"
"D5321208220000","D5321208220001"
"D5321208220100","D5321208220101"
"D5321208320000","D5321208320005"
"D5321208320005","D5321208320000"
"D5321208320100","D5321208320101"
"D5321208320100","D5321208320105"
"D5321208420000","D5321208420002"
"D5321208420000","D5321208420005"
"D5321208420100","D5321208420102"
"D5321208420100","D5321208420105"
"D5321219720000","D5321219720001"
"D5321219720001","D5321219720000"
"D5323002620000","D5323082200151"
"D5323002720000","D5323082100151"
"D5323012120000","D5323012120016"
"D5323022600200","D5323022620000"
"D5323022620000","D5323022600200"
"D5323022620000","D5323022620200"
"D5323022620000","E5321070000000"
"D5323022620000","E5321070020000"
"D5323022620200","D5323022620000"
"D5323027720000","D5323027720001"
"D5323027720001","D5323027720000"
"D5323027720100","D5323027720101"
"D5323027720101","D5323027720100"
"D5323027720300","D5323027720301"
"D5323027720301","D5323027720300"
"D5323028120000","D5323028120040"
"D5323028120040","D5323028120000"
"D5323036820000","D5323036820005"
"D5323036820005","D5323036820000"
"D5323038320000","D5323038320004"
"D5323038320004","D5323038320000"
"D5323038520000","D5323038520001"
"D5323038520001","D5323038520000"
"D5323038520100","D5323038520101"
"D5323038520101","D5323038520100"
"D5323038620000","D5323038620001"
"D5323038620001","D5323038620000"
"D5323039320000","D5323083900000"
"D5323039820000","D5323039820001"
"D5323039820000","D5323039820019"
"D5323039820001","D5323039820000"
"D5323039820019","D5323039820000"
"D5323039820100","D5323039820101"
"D5323039820100","D5323039820119"
"D5323039820101","D5323039820100"
"D5323039820119","D5323039820100"
"D5323039920000","D5323039920001"
"D5323039920000","D5323039920019"
"D5323039920000","D5323071920000"
"D5323039920000","D5323071920007"
"D5323039920001","D5323039920000"
"D5323039920019","D5323039920000"
"D5323040020000","D5323040020040"
"D5323040020040","D5323040020000"
"D5323041420000","D5323041420012"
"D5323041420012","D5323041420000"
"D5323042320000","D5323042320041"
"D5323046320000","D5323174120000"
"D5323046320000","D5323174120200"
"D5323047220000","D5323047220006"
"D5323047220006","D5323047220000"
"D5323047320000","D5323047320001"
"D5323047320001","D5323047320000"
"D5323050120000","D5323050120002"
"D5323050120000","D5323050120090"
"D5323050120002","D5323050120000"
"D5323050120090","D5323050120000"
"D5323051320000","D5323051320002"
"D5323051320002","D5323051320000"
"D5323051420000","D5323051420002"
"D5323051420000","D5323051420019"
"D5323051420002","D5323051420000"
"D5323051420019","D5323051420000"
"D5323052620000","D5323052620001"
"D5323052620000","D5323052620002"
"D5323052620000","D5323052620017"
"D5323052620000","D5323052620019"
"D5323052620001","D5323052620000"
"D5323052620002","D5323052620000"
"D5323052620019","D5323052620000"
"D5323053320000","D5323053320001"
"D5323053320001","D5323053320000"
"D5323053420000","D5323053420001"
"D5323053420001","D5323053420000"
"D5323053520000","D5323053520001"
"D5323053720000","D5323053720001"
"D5323053720001","D5323053720000"
"D5323055820000","D5323055820005"
"D5323056520000","D5323056520019"
"D5323056520019","D5323056520000"
"D5323058520000","D5323058520007"
"D5323058520007","D5323058520000"
"D5323059420000","D5323059420003"
"D5323060920000","D5323124420000"
"D5323060920000","D5323198220000"
"D5323071920000","D5323039920000"
"D5323071920000","D5323039920001"
"D5323071920000","D5323039920019"
"D5323071920000","D5323071920007"
"D5323071920000","D5323071920019"
"D5323071920007","D5323039920000"
"D5323071920007","D5323071920000"
"D5323071920019","D5323071920000"
"D5323072020000","D5323072020002"
"D5323072020002","D5323072020000"
"D5323072720000","D5323072720003"
"D5323072720003","D5323072720000"
"D5323075720000","D5323075720040"
"D5323075720040","D5323075720000"
"D5323075820000","D5323075820040"
"D5323077320000","D5323077320002"
"D5323077320002","D5323077320000"
"D5323077820000","D5323077820002"
"D5323078720000","D5323172620001"
"D5323079420000","D5323079420002"
"D5323079420002","D5323079420000"
"D5323079520000","D5323079520002"
"D5323079520002","D5323079520000"
"D5323079620000","D5323079620001"
"D5323079620001","D5323079620000"
"D5323082200100","D5323082200151"
"D5323083900000","D5323039320000"
"D5323091020000","D5323091020001"
"D5323091020001","D5323091020000"
"D5323091020100","D5323091020101"
"D5323091020101","D5323091020100"
"D5323091020400","D5323091020401"
"D5323091020401","D5323091020400"
"D5323091020500","D5323091020501"
"D5323091020501","D5323091020500"
"D5323093420000","D5323093420041"
"D5323093420041","D5323093420000"
"D5323093520000","D5323093520006"
"D5323093520000","D5323093520090"
"D5323093520006","D5323093520000"
"D5323093520090","D5323093520000"
"D5323093620000","D5323093620006"
"D5323093620006","D5323093620000"
"D5323094200000","D5323094220000"
"D5323094200000","D5323094220002"
"D5323094220000","D5323094200000"
"D5323094220000","D5323094220002"
"D5323094220002","D5323094200000"
"D5323094220002","D5323094220000"
"D5323094520000","D5323094520002"
"D5323094520000","D5323094520019"
"D5323097120000","D5323097120010"
"D5323097120010","D5323097120000"
"D5323101920000","E5323037220000"
"D5323102020000","D5323102020041"
"D5323102020041","D5323102020000"
"D5323120620000","D5323120620002"
"D5323120620000","D5323120620006"
"D5323120620000","D5323498420000"
"D5323120620002","D5323120620000"
"D5323120620002","D5323120620006"
"D5323120620006","D5323120620000"
"D5323120620006","D5323120620002"
"D5323124420000","D5323060920000"
"D5323124420000","D5323198220000"
"D5323124520000","D5323124520002"
"D5323124520000","D5323497920000"
"D5323124520002","D5323124520000"
"D5323127020000","D5323194720000"
"D5323127020100","D5323194720100"
"D5323127720000","D5323127720001"
"D5323128920000","D5323128920001"
"D5323132020000","D5323119420200"
"D5323132220000","D5323132220004"
"D5323132220004","D5323132220000"
"D5323132320300","D5323132320390"
"D5323133020000","D5323133020001"
"D5323133020001","D5323133020000"
"D5323133220000","D5323133220001"
"D5323133520200","D5323133520215"
"D5323135420000","D5323135420002"
"D5323135420000","D5323135420040"
"D5323135420000","D5323135420090"
"D5323135420002","D5323135420000"
"D5323135420040","D5323135420000"
"D5323136020200","D5323136020201"
"D5323136020201","D5323136020200"
"D5323136720000","E5323126820000"
"D5323136820000","D5323133620000"
"D5323150820000","D5323198920000"
"D5323150920000","ASNA2215"
"D5323150920000","ASNA2215 7075T73511"
"D5323151020000","D5323199020090"
"D5323151120000","D5323199120000"
"D5323151220000","D5323199220000"
"D5323151320000","D5323199320000"
"D5323151420000","D5323199420000"
"D5323151520000","D5323151520001"
"D5323151520000","D5323151520090"
"D5323151520001","D5323151520000"
"D5323151520090","D5323151520000"
"D5323151620000","D5323151620001"
"D5323151620000","D5323151620002"
"D5323151620001","D5323151620000"
"D5323151720000","D5323151720001"
"D5323151720001","D5323151720000"
"D5323151720100","D5323151720101"
"D5323151720101","D5323151720100"
"D5323151920000","D5323151920001"
"D5323151920001","D5323151920000"
"D5323152020000","D5323152020001"
"D5323152020000","D5323253920000"
"D5323152020001","D5323152020000"
"D5323152120000","D5323199520000"
"D5323152220100","D5323199620000"
"D5323152320000","D5323152320002"
"D5323152320002","D5323152320000"
"D5323154220000","D5323154220001"
"D5323154320000","D5323154320001"
"D5323154320000","D5323154320040"
"D5323154320000","D5323199920040"
"D5323154320001","D5323154320000"
"D5323154320040","D5323154320000"
"D5323160120000","D5323160120040"
"D5323160120040","D5323160120000"
"D5323163820000","D5323163820090"
"D5323164220000","D5323164220003"
"D5323164220003","D5323164220000"
"D5323164220100","D5323164220103"
"D5323164220103","D5323164220100"
"D5323172320000","D5323172320002"
"D5323172620000","D5323172620001"
"D5323172620001","D5323078720000"
"D5323172620001","D5323172620000"
"D5323174120000","D5323046320000"
"D5323174120000","D5323174120200"
"D5323174120200","D5323046320000"
"D5323174120200","D5323174120000"
"D5323174220000","D5323046720000"
"D5323174220000","D5323174220200"
"D5323174220000","E5323102120000"
"D5323174220000","E5323102120200"
"D5323174220200","D5323174220000"
"D5323174220200","E5323102120000"
"D5323174220200","E5323102120200"
"D5323174320000","D5323174320200"
"D5323174320000","D5323174320400"
"D5323174320200","D5323174320000"
"D5323174320400","D5323174320000"
"D5323184520000","D5323133520215"
"D5323186320000","D5323390520000"
"D5323186620000","D5323390620000"
"D5323186800000","E5323244400000"
"D5323187820000","D5323149820000"
"D5323187820000","D5323149820001"
"D5323187820000","D5323187820400"
"D5323187820000","D5323187820440"
"D5323187920000","D5323187920400"
"D5323187920400","D5323187920000"
"D5323187920600","D5323187920800"
"D5323187920800","D5323187920600"
"D5323194720000","D5323127020000"
"D5323194720100","D5323127020100"
"D5323198220000","D5323060920000"
"D5323198220000","D5323124420000"
"D5323198920000","D5323150820000"
"D5323199020000","ASNA2457 7075T73511"
"D5323199020000","D5323199020090"
"D5323199020090","D5323151020000"
"D5323199020090","D5323199020000"
"D5323199220000","D5323151220000"
"D5323199320000","D5323151320000"
"D5323199420000","D5323151420000"
"D5323199520000","ASNA2457 7075T73511"
"D5323199520000","D5323152120000"
"D5323199620000","D5323152220100"
"D5323199920000","D5323199920001"
"D5323199920000","D5323199920040"
"D5323199920001","D5323199920000"
"D5323199920040","D5323154320000"
"D5323199920040","D5323199920000"
"D5323252820000","D5323252820090"
"D5323252820090","D5323252820000"
"D5323253920000","D5323152020000"
"D5323253920000","D5323253920090"
"D5323253920090","D5323253920000"
"D5323254020000","D5323254020001"
"D5323254020001","D5323254020000"
"D5323258120000","D5323258120040"
"D5323258120000","D5323258120090"
"D5323258120040","D5323258120000"
"D5323258120090","D5323258120000"
"D5323258520000","D5323258520040"
"D5323258520040","D5323258520000"
"D5323258520100","D5323258520140"
"D5323258520140","D5323258520100"
"D5323264020000","D5323264020040"
"D5323264020040","D5323264020000"
"D5323264120000","D5323264120041"
"D5323264120041","D5323264120000"
"D5323264220000","D5323264220001"
"D5323264220001","D5323264220000"
"D5323276620000","D5323276620001"
"D5323295920000","D5323295920040"
"D5323295920040","D5323295920000"
"D5323296220000","D5323296220005"
"D5323347120000","D5323347120019"
"D5323347120000","D5323347120040"
"D5323347120040","D5323347120000"
"D5323390520000","D5323186320000"
"D5323390620000","D5323186620000"
"D5323399620000","D5323399620040"
"D5323399620040","D5323399620000"
"D5323461020000","D5323496820000"
"D5323493320000","D5323493320200"
"D5323493320000","D5323493320400"
"D5323493320200","D5323493320000"
"D5323493320200","D5323493320400"
"D5323493320400","D5323493320000"
"D5323493320400","D5323493320200"
"D5323497920000","D5323124520000"
"D5323498420000","D5323120620000"
"D5323498720000","D5323498720090"
"D5323507820600","D5323507821000"
"D5323507821000","D5323507820600"
"D5323513600000","D5323513620000"
"D5323513600100","D5323513620100"
"D5323513620000","D5323513600000"
"D5323513620100","D5323513600100"
"D5323513620100","D5323513620190"
"D5323514320200","D5323514300200"
"D5323514600000","D5323514620200"
"D5323514600100","D5323514620100"
"D5323514620000","D5323514600000"
"D5323514620100","D5323514600100"
"D5323514620200","D5323514600000"
"D5323514620200","D5323514600200"
"D5323514620300","D5323514600100"
"D5323514620300","D5323514600300"
"D5323515120200","D5323515100200"
"D5323515120200","E5321554500000"
"D5323519120000","D5323519120200"
"D5323519120100","D5323519120300"
"D5323519120200","D5323519120000"
"D5323519120300","D5323519120100"
"D5323533320100","D5323533320190"
"D5323533320190","D5323533320100"
"D5323535320600","E5321530621000"
"D5323542120000","D5323542120200"
"D5323542120200","D5323542120000"
"D5323545821400","D5323545801000"
"D5323545821500","D5323545801100"
"D5323546220600","E5321522720000"
"D5323546221200","E5321523020000"
"D5323551600900","D5323551620900"
"D5323551601500","D5323551621500"
"D5323551620000","D5323551621000"
"D5323551620100","D5323551621100"
"D5323551620900","D5323551600900"
"D5323551621000","D5323551620000"
"D5323551621100","D5323551601100"
"D5323551621100","D5323551620100"
"D5323551621500","D5323551601500"
"D5331030220000","D5331030220095"
"D5331030220100","D5331030220195"
"D5331032700800","D5331032701200"
"D5331032701200","D5331032700800"
"D5331033220000","D5331033220095"
"D5331033220100","D5331006320300"
"D5331033220100","D5331033220195"
"D5331034700400","D5331034701200"
"D5331034701200","D5331034700400"
"D5331036920000","D5331036920200"
"D5331036920200","D5331036920000"
"D5331036920200","D5331036920201"
"D5331041720100","E5321079520100"
"D5331050800800","D5331059700000"
"D5331056500000","D5331056500200"
"D5331059700000","D5331050800800"
"D5331059700000","D5331059700200"
"D5331059700200","D5331059700000"
"D5331101800800","D5331101800000"
"D5331101800800","D5331101800095"
"D5331101800800","D5331101800295"
"D5331101800800","D5331101800895"
"D5331101800800","D5331101801295"
"D5331101800800","D5331101801600"
"D5331101800800","D5331101801695"
"D5331103700200","D5331127300400"
"D5334900100000","D5334900100200"
"D5334900100100","D5334900100300"
"D5334900100200","D5334900100000"
"D5334900100300","D5334900100100"
"D5334900200000","D5334900200200"
"D5334900200100","D5334900200300"
"D5334900200200","D5334900200000"
"D5334900200300","D5334900200100"
"D5335002520000","D5335600220000"
"D5335002520100","D5335600220100"
"D5335002820100","D5335002920100"
"D5335002820200","D5335002920000"
"D5335002820300","D5335002920100"
"D5335002920100","D5335002820100"
"D5335003020000","D5335003020001"
"D5335600220000","D5335002520000"
"D5335600220100","D5335002520100"
"D5337011120000","D5337011120001"
"D5337011120100","D5337011120101"
"D5337026020100","D5337026020300"
"D5337026020100","D5337026020390"
"D5337026020300","D5337026020390"
"D53370622004","D53370622006"
"D53370622005","D53370622007"
"D5337062220400","D5337062220600"
"D5337109920000","D5337109920200"
"D5337109920200","D5337109920000"
"D5337111200500","D5337111200900"
"D5337111200900","D5337111200500"
"D5337152800200","E5337152900200"
"D5337195820000","E5337195820000"
"D5337265520200","D53070002"
"D5337540900000","E5337150500000"
"D5345621020600","D5345621020651"
"D5345621020651","D5345621020600"
"D5345644920000","D5345644920200"
"D5345644920200","D5345644920000"
"D5345649920000","D5347889020000"
"D5345663200000","A5397039720200"
"D5345926300000","D5345926300021"
"D5345926300000","D5347669100000"
"D5345926300021","D5345926300000"
"D5345926300021","D5347669100000"
"D5347039420400","D5347039420401"
"D5347039520400","D5347039520490"
"D5347039520490","D5347039520400"
"D5347043620100","D5347043620900"
